_id,nombre_categoria_manifestacion,apoyo_categoria_manifestacion,createdAt,updatedAt,__v
666a2f452e6bbcc4b00916f4,Danza,false,2024-06-12T23:29:09.722Z,2024-06-12T23:29:09.722Z,0
666a2f9d001740325f7923d4,Musica,false,2024-06-12T23:30:37.678Z,2024-06-12T23:30:37.678Z,0
666a35f186d1671c99397ad0,Luces,true,2024-06-12T23:57:37.424Z,2024-06-12T23:57:37.424Z,0
